id,name,description,resource_type,resource_type_id,status,address_street1,address_street2,city,state,zipCode,latitude,longitude,timezone,website,phone,open_by_appointment,appointment_required,accepting_new_clients,usage_limit_count,usage_limit_interval,confidence,rating_average,review_count,subscription_count,regions_served,tags,has_shifts,has_occurrences
288,Corona SDA Church,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,35-30 103rd St,,New York,NY,11368,40.753872,-73.864822,America/New_York,https://www.coronasdachurch.org,(718) 651-4534,False,False,True,,,0.5,2.3333333333333335,127,397,,,True,True
ckxexc1jn01080413rbrmcrhh,Met Council - SNAP Assistance,"* Call Met Council’s Benefits Helpline at 212-453-9532 for assistance or to schedule an appointment in person or virtually
24th floor",SNAP/EBT,SNAP_EBT,PUBLISHED,1 State Street,,New York,NY,10004,40.7028009,-74.013395,America/New_York,https://metcouncil.org/service/snap-food-stamps/,(212) 453-9532,False,False,True,,,0.8,2.3684210526315788,29,161,NEW_YORK_CITY,Call in advance for services,True,True
ckxexc1jt01770413fm6ns3qo,Commonpoint Queens- The Jack & Shirley Silver Hub,"Pre-order Required: Now, everyone needs to order before coming in to get know if they have enough food to give

Order Deadline: You can order by 12:00PM on Wednesday and Friday to receive food

Pickup on Assigned Date: It's important to come on the day we tell you. If you don't, we'll give your order to another family who needs it.

How to Order: Call (718)-268-5057 or text 201-464-0685 with your name and phone number.

Pickup Date: When you call, we'll tell you when you can come pick up your or",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,77-17 Queens Boulevard,,Elmhurst,NY,11373,40.7389333,-73.8865151,America/New_York,https://www.commonpointqueens.org/program/digital-food-pantry,(718) 268-5057,False,True,True,1,MONTH,0.6,2.2830188679245285,77,337,QUEENS,"ID required,Proof of address required,Call in advance for services,First come, first serve: open until food runs out",True,True
cl7hzbgzp12810gmh5ifrizsx,Stacey's Pantry,"Stacey's Pantry provides groceries on Saturday mornings from 9:00 AM–10:00 AM. Clients can pick up either by appointment (text 917-533-1679 to schedule) or by joining the first-come, first-served line. Clients may visit once per week. Volunteers are needed.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,48-08 91st Place,,Elmhurst,NY,11373,40.741081,-73.8730449,America/New_York,https://www.facebook.com/Staceyspantryelmhurst/,(917) 533-1679,False,False,True,,,0.9,2.4927536231884058,119,325,,Diapers/baby essentials may be available,True,True
ckxexc1jq01290413lrhuxs8b,Northern Manhattan Improvement Corporation (NMIC) Benefits Hotline,"* They distribute food by lottery system you need to register for lottery in first 14 days of month to participate if you will not win the lottery your name will be added in next lottery automatically.
* NMIC’s benefits team can help you with more than 40 different public benefits, including SNAP, housing issues, and more. Open hours vary depending on benefits requested, so check website for details: https://www.nmic.org/covid-19-services/.

* Call our Benefits Hotline (929) 415 – 8745 on Monday",SNAP/EBT,SNAP_EBT,PUBLISHED,45 Wadsworth Avenue,,New York,NY,10033,40.8461063,-73.9372221,America/New_York,https://www.nmic.org/benefits/,(929) 415-8745,False,False,True,,,0.8,2.2666666666666666,23,141,NEW_YORK_CITY,,True,True
ckxexc1jz02580413fd7wddny,Public Health Solutions,"Their counselors will help you find out if you qualify for SNAP, gather required documents, and submit your application. They will also provide referrals to other programs you may need, like WIC and health insurance.

Call to get started with SNAP enrollment over the phone. You may have to leave a voicemail, but someone will call you back within 48 hours. Find the number for your borough below:
* Bronx and Manhattan: 646-584-1553
* Brooklyn: 646-819-2451 For Spanish: Jose 646-793-0841/ Rosemary ",SNAP/EBT,SNAP_EBT,PUBLISHED,40 Worth Street,,New York,NY,10013,40.71729509999999,-74.0069891,America/New_York,https://www.healthsolutions.org/community-work/food-nutrition/snap-assistance/,(800) 544-8269,False,False,True,,,0.79,2.2222222222222223,24,149,NEW_YORK_CITY,,True,True
536,"Grand Central Food Program, Fordham & Webster","""For a smoother experience, this is a grab-and-go meal site where trucks arrive sometimes earlier or later due to traffic. We recommend arriving 15 minutes before the scheduled time. If the truck is running late, please allow at least 15 minutes from the scheduled arrival time before inquiring.""",Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,PUBLISHED,404 East Fordham Road,,Belmont,NY,10458,40.8614025,-73.891308,America/New_York,https://www.coalitionforthehomeless.org/our-programs/food/grand-central-food-program/grand-central-food-program-routes/,(212) 776-2000,False,False,True,,,0.4,1.8095238095238095,27,98,NEW_YORK_CITY,"First come, first serve: open until food runs out",True,True
1201,Vilanova Community Services,Tickest are distributed at 9am,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,2345 University Avenue,,University Heights,NY,10468,40.8622759,-73.9056926,America/New_York,https://catholiccharitiesny.org/our-agencies/tolentine-zeiser-community-life-center-inc,(718) 295-6800,False,False,True,,,0.6,2.5428571428571427,58,107,,ID required,True,True
581,BREAD OF LIFE FOOD PANTRY,"* Once you register on  site, the food pantry will add you to the waiting list to receive food.
* Needs volunteers

On-site registration required",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,1104 Elder Ave,,Bronx,NY,10472,40.826332,-73.878555,America/New_York,,(914) 315-7060,False,False,True,,,0.7,2.2181818181818183,93,325,,"ID required,Registration required,Clothing may be available",True,True
604,Infinity Bible Church,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,1326 Morrison Ave,,Bronx,NY,10472,40.8326734,-73.8750999,America/New_York,https://www.facebook.com/InfinityBibleChurch/,(718) 842-7130,False,False,True,,,0.99,2.3,44,228,,ID required,True,True
1388,Elmcor Youth and Adult Services Inc. ,On-site registration required,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,33-16 108 Street,,Corona,NY,11368,40.757565,-73.861191,America/New_York,www.elmcor.org,(718) 651-0096,False,False,True,,,1,2.357142857142857,73,265,,"ID required,Must bring own bags/cart,Registration required",True,True
ckz2780v81616693jy3gbg4dpdz,"PATHHSEO, Inc.","Fridays: Provides tickets as early as 6:30 AM and the distribution starts at 11:30 AM. Serves 250 families.
Saturdays: Grab and Go meals provided to 300 guest. Starts at 11:30 until food supplies last.
",Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,PUBLISHED,1357 Southern Boulevard,,West Bronx,NY,10459,40.8322459,-73.89130109999999,America/New_York,pathhseo.org,(917) 471-9188,False,False,True,,,0.6,2.344827586206897,46,141,,"First come, first serve: open until food runs out",True,True
285,"Evangelical Church Christ Is the Light Church, Inc (Iglesia Evangelica Cristo Es La Luz)",,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,89-14 48th Ave,,New York,NY,11373,40.741027,-73.8747999,America/New_York,https://www.hungerfreeamerica.org/en-us/nyc,(347) 742-7614,False,False,True,,,0.88,2.2413793103448274,60,176,,"ID required,Must bring own bags/cart",True,True
cl2iki0vc000404xq7wp8yv01,Creston Avenue Baptist Church,"Visit early, start giving out tickets around 8am",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,114 East 188th Street,,Fordham Heights,NY,10468,40.8616765,-73.8991341,America/New_York,http://www.crestonavenuebaptistchurch.org/,(718) 367-1754,False,False,True,1,MONTH,0.99,2.3833333333333333,90,236,,"ID required,Proof of address required,First come, first serve: open until food runs out,Clothing may be available",True,True
425,Heavenly Vision Christian Center,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,2868 Jerome Ave,,New York,NY,10468,40.8714855,-73.8921194,America/New_York,,(718) 220-8124,False,False,True,,,0.95,2.489795918367347,69,285,,"ID required,First come, first serve: open until food runs out",True,False
ckz26tyu71586763jy3gsvdod8g,Cornerstone SDA Church,"On Sundays, we offer ready-to-eat meals, and on Thursdays, we distribute non-perishable pantry items. Both programs are held at the side entrance on Liberty Ave.

When you arrive, please join the line, have your ID ready, and follow the guidance of our volunteers.",Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,PUBLISHED,138 Pennsylvania Avenue,,Brooklyn,NY,11207,40.674486,-73.8970233,America/New_York,https://www.csbk.church/,,False,False,True,,,1,2.526315789473684,61,210,,,True,True
515,Every Day is a Miracle - PS 33 Location,"Client Registration and appointments can be done/made digitally now and the verification process can occur in person or over the phone with a member services associate. However, in-person services are still available: on Wednesdays at our main location, 2424 Jerome Ave, from 9a -12p ONLY.

Closed: 
* Thanksgiving week
* Last two weeks of December",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,2424 Jerome Avenue,Timothy Dwight Elementary School P.S. 33,Fordham Heights,NY,10468,40.86167469999999,-73.90163299999999,America/New_York,https://edmnyc.org/supermarket-pantry/,(347) 618-1162,False,True,True,,,0.98,2.358974358974359,68,211,,Registration required,True,True
1081,"St. Edmunds Youth Programs, Inc.","- Requires ticket but you will still be served, priority is given to those with tickets.
- Tickets are taken in person at 9am
- Mondays are open because they have no idea when the truck willl arrive . please call ahead",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,West 177th Street,,New York,NY,10453,40.8499279,-73.9082118,America/New_York,,(718) 466-9370,False,False,True,,,0.8,2.0625,37,190,,"First come, first serve: open until food runs out",True,True
950,St. Anthony’s Church,* Needs volunteers,Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,PUBLISHED,1750 Mansion St,,New York,NY,10460,40.8378781,-73.8689982,America/New_York,https://www.facebook.com/StAnthonyBronx/,(718) 931-4040,False,False,True,,,0.89,2.375,14,114,,"ID required,First come, first serve: open until food runs out",True,True
40,"Catholic Charities Brooklyn and Queens, Blessed Virgin Mary/St. Mary-Winfield","- Only serves residents of the woodside area
- Any minor woud require an adult due to the id requirement to sign in
- Client can visit once a week",Other,OTHER,PUBLISHED,70-31 48th Ave,,Woodside,NY,11377,40.738316,-73.893797,America/New_York,https://www.ccbq.org/service/food-pantry-network/,(718) 672-4849,False,False,True,,,0.99,2.5789473684210527,99,81,NEW_YORK_CITY,"ID required,Proof of address required",True,True
235,Atonement  Food Pantry,"* **Use the Plentiful app to  schedule an appointment as the schedule may vary if there's a church event**
* Pantry is open on Friday but you need to create an appointment on the plentiful app to see which days are open.
* Needs volunteers",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,1344 Beach Avenue ,,Bronx  ,NY,10472,40.833351,-73.866241,America/New_York,atonementbronx.org,(347) 841-3765,False,False,True,2,MONTH,0.3,2.3333333333333335,39,183,,"ID required,Must bring own bags/cart,Diapers/baby essentials may be available,Clothing may be available,Schedule appointment through Plentiful app",True,True
1563,Blessed Sacrament Church (Bklyn),Lines starts forming early so recommended to arrive earlier than  nine,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,198 Euclid Avenue,,Brooklyn,NY,11208,40.68388,-73.874702,America/New_York,https://blessedsacrament.nyc/,(718) 827-1200,False,False,True,,,1,2.4545454545454546,69,196,,,True,True
1374,St. Mark AME Church/VOH Food Pantry,"(Closed July & August)
Line starts forming  as early as 7am",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,95-18 Northern Blvd.,,Jackson Heights,NY,11372,40.756775,-73.872414,America/New_York,https://stmarkamenyc.org/,(718) 899-3306,False,False,True,,,0.6,2.555555555555556,54,193,,"ID required,Must bring own bags/cart",True,True
1378,Project Bravo,Stamp cards are for regular users or who have gone to the pantry at least once before,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,3058 Bainbridge Ave,,Bronx,NY,10467,40.873203,-73.879684,America/New_York,https://www.projectbravopantry.org/,(718) 655-3648,False,False,True,1,MONTH,0.8,2.5303030303030303,95,268,,"ID required,Proof of address required,Other social services available,Toiletries may be available,Diapers/baby essentials may be available,Clothing may be available",True,True
clo2v3g1c19lbs50falp5q4gy,The Corona Food Bank,On-site registration required,Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,PUBLISHED,93-15 Corona Avenue,,Queens,NY,11373,40.7426204,-73.87091939999999,America/New_York,https://www.communitycsoc.org/,(929) 370-2171,False,False,True,,,0.4,2.388888888888889,83,178,,"ID required,Proof of address required,Registration required",True,True
1444,The Table at the Family Support Center at NYU Langone,"- There is a waiting list, so please call in advance!- 7186307186
- Must have an appoinment before going in to pick up food.
- Must go through a councelling session.
- Currently have limited food supply",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,550 59th Street,,Sunset Park,NY,11220,40.6392192,-74.0143789,America/New_York,https://nyulangone.org/locations/family-health-centers-at-nyu-langone/community-based-programs-family-health-centers-at-nyu-langone,(718) 630-7171,False,True,True,1,MONTH,0.98,2.24,48,175,,"Call in advance for services,Registration required",True,True
1324, Health Essential Association,"* Needs volunteers
* Client can visit twice a month",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,2336 86th Street,,Brooklyn,NY,11214,40.600349,-73.991524,America/New_York,https://healthessential.org/,(718) 373-2562,False,False,True,,,0.99,2.3478260869565215,39,179,,"ID required,Registration required",True,True
760,"NW Bronx Food Justice Coalition, Kingsbridge Heights Community Center","* Needs volunteers
* Client can visit once a week",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,3101 Kingsbridge Terr,,New York,NY,10463,40.87786738314249,-73.90064771562675,America/New_York,https://www.khcc-nyc.org/programs/?filter[category]=prog_nutrition,(718) 884-0700,False,False,True,,,0.75,2.3733333333333335,98,169,BRONX,"ID required,First come, first serve: open until food runs out",True,True
801,Mount Olivet Gospel Church - Food Pantry,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,33-27 97th St,,Flushing,NY,11368,40.756154,-73.87068599999999,America/New_York,http://www.mtolivetgospelchurch.org/,(718) 478-0780,False,False,True,,,0.8,2.375,44,156,,,True,True
23,All Nations Baptist Church of Woodhaven,"- The food pantry is only open 3 Saturdays of the month. 
- Our close dates are publically posted on the front wall of the facility.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,86-76 80th Street,,Woodhaven,NY,11421,40.6916225,-73.8621835,America/New_York,http://www.allnationsbaptist.org/,(347) 679-3562,False,False,True,1,MONTH,0.8,2.5128205128205128,57,182,,"First come, first serve: open until food runs out",True,True
37,"Catholic Charities Brooklyn and Queens, Our Lady of the Angelus",,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,63-63 98th St,,New York,NY,11374,40.730739,-73.858731,America/New_York,https://www.ccbq.org/service/food-pantry-network/,(718) 722-6001,False,False,True,,,0.9,2.1578947368421053,24,102,,,True,True
998,WHEDCo - Food Pantry,"Tickets distributed on Wednesdays at 8am
Line starts at 7am or maybe early",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,50 E 168th St,,New York,NY,10452,40.8362836,-73.9191271,America/New_York,https://whedco.org/,(718) 839-1100,False,False,True,1,MONTH,0.81,2.2758620689655173,49,138,,"ID required,Proof of address required,First come, first serve: open until food runs out",True,True
1296,QCH Forest Hills,"Open every Thursday from 8:30 AM to 10:30 AM, except on holidays, and by appointment only.

Please bring any government-issued ID (Medicare or Medicaid is accepted).

Appointment slots for new clients open at 10:00 AM.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,108-25 62nd Drive,,Forest Hills,NY,11375,40.7362957,-73.85014129999999,America/New_York,www.qchnyc.org,(718) 699-1010,False,True,True,1,WEEK,0.7,2.393939393939394,55,116,,ID required,True,True
1191,St. Paul's Lutheran Food Pantry,"Sign up on www.plentiful.com. Make sure you input your valid mobile number and an email address to be notified of any pantry closings.

Requires ID for adults and birth certificates for children in the household

On-site registration required",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,1891 McGraw Ave.,,Bronx,NY,10462,40.834682,-73.862305,America/New_York,https://stpaulsbronx.org/,(929) 445-0098,False,False,True,,,1,2.25,85,237,,"ID required,Registration required,Schedule appointment through Plentiful app",True,True
837,Northeast Conference Community Center SDA,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,99-13 Northern Blvd,,New York,NY,11368,40.75726,-73.869266,America/New_York,https://www.northeastern.org/services/adventist-community-services-center,(718) 291-8006,False,False,True,,,0.7,2.3076923076923075,37,115,,,True,True
533,Grand Concourse SDA Church,- Closed on the fifth Wednesday of the month.,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,1275 Grand Concourse,,New York,NY,10452,40.8364441,-73.9164634,America/New_York,https://grandconcourseny.adventistchurch.org/,(718) 681-2232,False,False,True,,,0.85,2.3666666666666667,43,143,,"ID required,Must bring own bags/cart,First come, first serve: open until food runs out",True,True
605,Love Wins NYC @ Viva La Heights,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,78-11 Roosevelt Avenue,,Jackson Heights,NY,11372,40.7474892,-73.8870374,America/New_York,https://www.lovewinsnyc.org,(929) 261-7831,False,False,True,,,0.8,2.4285714285714284,38,144,,,True,True
1519,Holy Tabernacle Church Food Outreach Program,,Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,UNAVAILABLE,3780 3rd Avenue,,Morrisania,NY,10456,40.8366719,-73.9019715,America/New_York,,(718) 292-3340,False,False,True,,,0.99,2.380952380952381,27,130,,ID required,True,False
772,New Life Community Development Corporation,We offer free hot meals to-go and pantry groceries on Tuesdays and Saturdays. Clients must select either a hot meal or pantry groceries; they cannot take both in one visit. Clients can only take pantry groceries once a week. ,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,82-10 Queens Boulevard,,Elmhurst,NY,11373,40.7369456,-73.8811637,America/New_York,https://www.newlifecdc.nyc/contact,(718) 565-9844,False,False,True,,,0.85,2.444444444444444,15,58,,,True,True
