id,name,description,resource_type,resource_type_id,status,address_street1,address_street2,city,state,zipCode,latitude,longitude,timezone,website,phone,open_by_appointment,appointment_required,accepting_new_clients,usage_limit_count,usage_limit_interval,confidence,rating_average,review_count,subscription_count,regions_served,tags,has_shifts,has_occurrences
cmdozsmde0257yzj8evo873gk, CARING SHEPERD SUPPLIES MINISTRIES INC,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,4056 Barnes Avenue,,East Bronx,NY,10466,40.8891516,-73.8560514,America/New_York,,(917) 743-0780,False,False,True,,,0.76,2,1,10,,,True,True
cljioyezq04gyl30heqpod3gk, Church of ST. HELENA'S Roman Catholic,Line starts at 12 pm ,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,2057 Westchester Avenue,,Parkchester,NY,10462,40.8339357,-73.8556079,America/New_York,https://churchofsthelena.com/,(718) 892-3232,False,False,True,1,WEEK,1,2.4107142857142856,80,194,,"ID required,First come, first serve: open until food runs out,Registration required,Clothing may be available",True,True
cmdq1eop400n8xo0w2j64gjpx, EMANUEL PENTECOSTAL FAITH CHURCH,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,1310 Elder Avenue,,East Bronx,NY,10472,40.8316307,-73.8796079,America/New_York,,(718) 842-4092,False,False,True,,,0.77,2.111111111111111,19,41,,,True,True
cmdq8ge7i0558ydiom28mzl6f, MORNING STAR FULL GOSPEL ASSEMBLY,"Please call Ms. Sue Washington at (718) 294-6020 to confirm if there will be distribution on that Wednesday. Distribution is every Wednesday, but no assurance that there's food available so it's better to call ahead.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,464 East Tremont Avenue,,West Bronx,NY,10457,40.8468731,-73.8983937,America/New_York,https://mstarfga.org/outreach/,(718) 294-6020,False,False,True,,,0.75,2,6,15,,Call in advance for services,True,True
cmit1agve039lx2frowxuewcs,2nd Church in the Antilles,"**NO hrs

Food boxes may be passed out to children, parents, and others. They may contain basic needs and health
foodstuffs.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,9 East 199th Street,,West Bronx,NY,10468,40.8723541,-73.88951639999999,America/New_York,,(718) 562-9409,False,False,True,,,0.2,,0,41,,,False,False
cmdoz6qsw00rbzp0u3g1pf1j2,ADMIRABLE CHRIST MINISTRIES FOOD PANTRY,They are low on produce an they may not serve on some days if they have no produce,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,2361 Maclay Avenue,,Westchester Square,NY,10462,40.8397091,-73.8513701,America/New_York,https://www.facebook.com/elremanenteusa,(570) 856-7065,False,False,True,,,0.6,2.4166666666666665,17,46,,"First come, first serve: open until food runs out",True,True
150,AL-Masjidu Adam Community Life Center For Human Excellence,"* Seniors are given first choice, then other visitors can get food
* Must arrive early to get number/ticket
* Volunteers needed
",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,2269 Crotona Avenue,,Belmont,NY,10457,40.8516367,-73.8850547,America/New_York,https://www.facebook.com/ashshifaainc/,(347) 270-1436,False,False,True,,,0.89,2.103448275862069,42,118,,"Must bring own bags/cart,Diapers/baby essentials may be available",True,True
8,"Abraham House, Inc.","open every saturday 9am to 11am , ",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,340 Willis Avenue,,Mott Haven,NY,10454,40.8113404,-73.9209643,America/New_York,http://www.abrahamhouse.org/home.aspx,(718) 292-9321,False,False,True,,,0.89,2.5652173913043477,27,55,,"ID required,Must bring own bags/cart",True,True
1543,Abrigo Del Altistimo,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,2009 Monterey Avenue,,West Bronx,NY,10457,40.847991,-73.8947108,America/New_York,https://www.facebook.com/abrigomonterey,(646) 665-1057,False,False,True,,,0.9,2.5483870967741935,38,112,,"First come, first serve: open until food runs out",True,True
1446,Abundant Grace for the Forsaken,"* First come, first serve until food runs out
* Needs volunteers",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,3101 Eastchester Rd,,The Bronx,NY,10469,40.871319,-73.843994,America/New_York,https://www.abundantgracechurch.com/food-pantry/,(347) 449-5663,False,False,True,,,1,2.526315789473684,24,84,,ID required,True,True
9,Abundant Life Tabernacle,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,2692 3rd Ave,,New York,NY,10454,40.8133741,-73.9222502,America/New_York,https://www.facebook.com/AbundantLifeTabernacleBX/,(718) 292-8734,False,False,True,,,0.84,2.4285714285714284,14,35,,"ID required,Proof of address required,First come, first serve: open until food runs out",True,True
7,"Acacia Network (United Bronx Parents), La Casita III - Soup Kitchen",,Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,UNAVAILABLE,607 Prospect Ave,,New York,NY,10455,40.8139815,-73.904207,America/New_York,https://acacianetwork.org/foodservices/,(718) 742-0082,False,False,True,,,0.6,,0,1,,,True,False
3,"Acacia Network, Maria Isabel Senior Center - Soup Kitchen",,Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,UNAVAILABLE,787 E 149 St,,New York,NY,10455,40.81314034150437,-73.90679655987644,America/New_York,https://acacianetwork.org/foodservices/,(718) 734-2539,False,False,True,,,0.45,,0,0,,,True,False
24,"Acacia Network, Ruth Fernandez Family Residence",First 20 will be served,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,762 Fox St,,New York,NY,10455,40.8157096,-73.8980431,America/New_York,https://acacianetwork.org/foodservices/,(718) 328-8180,False,False,True,1,MONTH,0.88,2.142857142857143,10,36,,ID required,True,True
317,Accion Academy,"Client need to get registered in the school library. Food distribution is not fixed. You will get a message when they will distribute food.

On-site registration required",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,977 Fox St,,New York,NY,10459,40.8220835,-73.8940382,America/New_York,https://insideschools.org/school/12X384,(718) 378-1649,True,False,True,1,MONTH,0.85,1.777777777777778,13,40,,"Call in advance for services,Registration required,Proof of household income required",True,True
13,African Redemption Alliance,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,1299 College Ave,,New York,NY,10451,40.8354368,-73.91204259999999,America/New_York,https://networks.whyhunger.org/organization/view/14536,,False,False,True,,,0.4,,0,0,,,False,False
1331,Agatha House Foundation,"* There may be a week when we don’t open but it would be posted on the location gate and on the **[Instagram](https://www.instagram.com/agathahousefoundation/)**. Check social media for updates!
* Needs volunteers
",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,4471 Mundy Lane,,East Bronx,NY,10466,40.9025842,-73.84114819999999,America/New_York,https://www.facebook.com/agathahousefoundation/,(646) 335-2334,False,False,True,,,0.99,2.25,22,88,,"Must bring own bags/cart,Delivery may be available",True,True
cmit0qcbw02m5voeehpp41gzg,Aging in America,**No Hrs,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,1500 Pelham Parkway South,,Morris Park,NY,10461,40.8567867,-73.8431055,America/New_York,,(718) 824-4004,False,False,True,,,0.53,,0,9,,,False,False
ckxexc1ml07090413t5z5z5zx,Allerton Allies Community Fridge,"Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers.",Community fridge,COMMUNITY_FRIDGE,PUBLISHED,2527 Boston Road,,New York,New York,10467,40.8640568,-73.8647646,America/New_York,https://www.instagram.com/allertonalliesfridge/,,False,False,True,,,0.69,1,1,6,,,False,False
clnnkbbt00138s50f9j4an01c,Anchor Fridge,,Community fridge,COMMUNITY_FRIDGE,PUBLISHED,239 City Island Avenue,,City Island,NY,10464,40.844994,-73.7859127,America/New_York,@anchorfridge,,False,False,True,,,0.5,,0,1,,,True,False
cmisybgz1024fvoee3o33qmyw,Andrew Jackson Tenants Association,"**No hrs

The center is only open on Tuesday and Thursday.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,285 East 156th Street,,Melrose,NY,10451,40.8220274,-73.9189566,America/New_York,,(718) 401-1324,False,False,True,,,0.53,,0,19,,,False,False
cmiqzassy00wxygd0sk5r8pum,Anjuman Hefazatul Islam,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,365 East 198th Street,,West Bronx,NY,10458,40.8669824,-73.886466,America/New_York,,(718) 733-0234,False,False,True,,,0.78,2.5,2,10,,,True,False
137,Anjuman Hefazatul Islam,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,365 E 198th St,,New York,NY,10458,40.8669924,-73.88641700000001,America/New_York,https://www.homelessshelterdirectory.org/cgi-bin/id/foodbank.cgi?foodbank=3624,,False,False,True,,,0.45,,0,0,,,True,False
127,Astor Child Guidance Center,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,750 Tilden St,,New York,NY,10467,40.8766745,-73.862719,America/New_York,https://www.astorservices.org/programs/community/bronx-community-based-programs/,(718) 231-3400,False,False,True,,,0.45,,0,0,,,False,False
235,Atonement  Food Pantry,"* **Use the Plentiful app to  schedule an appointment as the schedule may vary if there's a church event**
* Pantry is open on Friday but you need to create an appointment on the plentiful app to see which days are open.
* Needs volunteers",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,1344 Beach Avenue ,,Bronx  ,NY,10472,40.833351,-73.866241,America/New_York,atonementbronx.org,(347) 841-3765,False,False,True,2,MONTH,0.3,2.3333333333333335,39,183,,"ID required,Must bring own bags/cart,Diapers/baby essentials may be available,Clothing may be available,Schedule appointment through Plentiful app",True,True
