id,name,description,resource_type,resource_type_id,status,address_street1,address_street2,city,state,zipCode,latitude,longitude,timezone,website,phone,open_by_appointment,appointment_required,accepting_new_clients,usage_limit_count,usage_limit_interval,confidence,rating_average,review_count,subscription_count,regions_served,tags,has_shifts,has_occurrences
cm57gvi2202042v0wqe5gb8qi, BETHANY GOSPEL CHAPEL INC,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,521 Thomas S Boyland Street,,Brownsville,NY,11212,40.6681075,-73.91295190000001,America/New_York,,(718) 929-1234,False,False,True,,,0.66,,1,3,,,True,False
cmdj9cha202gt0m0vsuep1rqr, CELESTIAL CHURCH OF CHRIST ILERI PARISH,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,138 Waverly Avenue,,Clinton Hill,NY,11205,40.6937222,-73.968115,America/New_York,,(718) 624-8758,False,False,True,,,0.77,2.6666666666666665,3,18,,,True,True
cm1p568hc027h74jb5snlt5d8, FAITH DELIVERANCE PENTECOSTAL CHURCH OF GOD,"- schedule might change according to availability of food at the pantry as they do not have many donors
- mostly have can goods you can pick it up mainly on Sundays when they are open for Church.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,5601 Flatlands Avenue,,Flatlands,NY,11234,40.6301784,-73.92197469999999,America/New_York,https://fdpcg.live/,(347) 440-2101,False,False,True,,,0.8,3,2,8,,,True,True
1324, Health Essential Association,"* Needs volunteers
* Client can visit twice a month",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,2336 86th Street,,Brooklyn,NY,11214,40.600349,-73.991524,America/New_York,https://healthessential.org/,(718) 373-2562,False,False,True,,,0.99,2.3478260869565215,39,179,,"ID required,Registration required",True,True
1330, Our Lady of Miracles Parish (Canarsie Cluster FP),,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,757 East 86th Street,,Canarsie,NY,11236,40.6388466,-73.90913750000001,America/New_York,https://ourladyofmiracles-brooklyn.org/,(718) 257-2400,False,False,True,,,0.82,2.3333333333333335,14,35,,,True,True
cmdoq95a6002a1fhziw1abam7, PENIEL HAITIAN CHURCH OF C AND MA,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,2741 Albemarle Road,,Little Haiti,NY,11226,40.6483304,-73.95063139999999,America/New_York,,(718) 469-3685,False,False,True,,,0.88,2.4,7,11,,,True,True
cmj8qdn6s0bgbzsfo72io3fne, Southside United Housing Development Fund Corporation,"**no hrs

Mr. Juan Ramos",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,434 South 5th Street,,Southside,NY,11211,40.7069122,-73.9517335,America/New_York,,Mr. Juan Ramos,False,False,True,,,0.53,,0,4,,,False,False
66, St. Gregory the Great Church,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,224 Brooklyn Ave,,New York,NY,11213,40.6718541,-73.94488799999999,America/New_York,https://www.ccbq.org/service/food-pantry-network/,(718) 773-0100,False,False,True,,,0.75,2,3,20,,"ID required,Registration required",True,True
clnnkgj2r014us50f1ncwn9m3,2 Fish 5 Loaves Fridge,"Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers.",Community fridge,COMMUNITY_FRIDGE,PUBLISHED,63 Whipple Street,,Broadway Triangle,NY,11206,40.7016563,-73.9444573,America/New_York,@2fish5loavesfridge,,False,False,True,,,0.69,,0,4,,,False,False
1,4th Ave Presbyterian Church,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,6753 4th Ave,,New York,NY,11220,40.63686580332876,-74.02273526931376,America/New_York,https://sites.google.com/site/4thavepresbrooklyn/community-food-pantry?authuser=0,(718) 836-0681,False,False,True,,,0.84,2.2142857142857144,25,90,,"First come, first serve: open until food runs out",True,True
