id,name,description,resource_type,resource_type_id,status,address_street1,address_street2,city,state,zipCode,latitude,longitude,timezone,website,phone,open_by_appointment,appointment_required,accepting_new_clients,usage_limit_count,usage_limit_interval,confidence,rating_average,review_count,subscription_count,regions_served,tags,has_shifts,has_occurrences
cmdrnpqxi00w86cko7vm1itxz, Borough Community Action Network Inwood,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,213 Sherman Avenue,,New York,NY,10034,40.8654223,-73.9206075,America/New_York,,(347) 856-8500,False,False,True,,,0.88,2.444444444444444,16,30,,,True,True
clbmqc3ow0000jx0frhidelzx, Food FARMacia,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,390 Fort Washington Avenue,,New York,NY,10033,40.8482013,-73.939082,America/New_York,,(212) 305-2862,False,False,True,,,0.95,,0,0,,,False,False
cmdrt38ca04y6wr0wxvgc6ixk, LITTLE SISTERS OF THE ASSUMPTION FAMILY HEALTH SERVICE,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,333 East 115th Street,,New York,NY,10029,40.7958531,-73.9366021,America/New_York,,(212) 289-4014,False,False,True,,,0.98,2.375,11,56,,,True,False
cmixbg1cg03zp1cfq36le9u1x," Palante Harlem, Inc.",Pre-Registration link https://docs.google.com/forms/d/e/1FAIpQLSclEjkZ8mE-7tS20RTz3Upaz47uyu7490v1PaJvEAD9zceZ3Q/viewform?usp=pp_url,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,1411 Amsterdam Avenue,,New York,NY,10027,40.8154045,-73.9545744,America/New_York,https://www.palanteharlem.org/food-relief-project,(212) 491-2541,False,False,True,,,0.8,,0,4,,ID required,True,True
cl1ykc2du000404tvtj6n0nya, Tompkins Square,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,E 10th St,,New York,NY,10009,40.7259466,-73.9777153,America/New_York,https://www.hopeforthefuture.com/,(631) 752-5771,False,True,True,,,0.8,3,2,14,,Proof of address required,True,True
cmixc2dw004921nfhbm014m9t," Uplift NYC, Inc.","**no hrs

Mr. Domingo Estevez Jr.
",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,73 Ellwood Street,,New York,NY,10040,40.8609736,-73.9285932,America/New_York,,(917) 826-0224,False,False,True,,,0.53,,0,0,,,False,False
cmdd46o1600ovyy0vmmulkjn9,14th Street Y,"Student summer meal program from Kinder Garden to 5th class, student from East Village schools can participate and attened classes as well, Drop off is available ",Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,PUBLISHED,344 East 14th Street,,New York,NY,10003,40.7313028,-73.983434,America/New_York,https://www.14streety.org/adult-programs/sirovich-schedule/#,(212) 780-0800,False,False,True,,,0.72,3,1,13,,,True,True
ckxexc1mt07960413yf2tus8b,155th St Fridge @ Madison Sq Boys and Girls Club,"Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers.",Community fridge,COMMUNITY_FRIDGE,PUBLISHED,250 Bradhurst Avenue,,New York,New York,10039,40.8293433,-73.938375,America/New_York,https://www.instagram.com/the155streetfridge,,False,False,True,,,0.79,3,3,10,,,True,True
2,415 M Wadleigh Secondary School For The Performing Visual Arts,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,215 W 114th,,New York,NY,10026,40.8025744,-73.95414029999999,America/New_York,https://www.wadleigharts.org/apps/pages/index.jsp?uREC_ID=423089&type=d,(347) 888-3790,False,False,True,,,0.45,,0,0,,,False,False
ckyzq19913107113o1durgefvtw,A New Beginning International Ministry,,Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,UNAVAILABLE,180 East 118th Street,,New York,NY,10035,40.7993178,-73.9395412,America/New_York,,(212) 987-4319,False,False,True,,,0.35,,0,0,,,False,False
