id,name,description,resource_type,resource_type_id,status,address_street1,address_street2,city,state,zipCode,latitude,longitude,timezone,website,phone,open_by_appointment,appointment_required,accepting_new_clients,usage_limit_count,usage_limit_interval,confidence,rating_average,review_count,subscription_count,regions_served,tags,has_shifts,has_occurrences
1285,Pisgah Gospel Ministries Food Pantry,"Don't visit pantry without appointment.
Appointments can be made via the Plentiful App
Or by texting ""PGM FOOD"" to 726-879

People without an appointment have to wait until 11:30 a.m., and if they have any food left they will distribute it.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,11 West Sandford Boulevard,,South Side,NY,10550,40.8995004,-73.83306150000001,America/New_York,pisgahgospelministries.org,(914) 573-3915,False,False,True,,,0.93,2.6470588235294117,21,96,,"ID required,Must bring own bags/cart,Schedule appointment through Plentiful app",True,True
cmbp8cm86027g1i0x0xqtdixo,Beulah SDA Church,"Arrive 10–15 minutes early and bring sturdy, reusable bags to make loading easier.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,410 South 9th Avenue,,South Side,NY,10550,40.9004371,-73.8382396,America/New_York,https://beulahny.adventistchurch.org/,(914) 664-7618,False,False,True,,,0.79,2.5,2,5,,"First come, first serve: open until food runs out",True,True
cmim6lzvn01hk02h5yq319vip,Sharon SDA Church,"Tip: Arrive 10–15 minutes early and bring sturdy, reusable bags to make loading easier.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,115 South 5th Avenue,,South Side,NY,10550,40.9084268,-73.83656839999999,America/New_York,https://feedingwestchester.org/find-help/mobile-food-pantry-schedule-stops-near-me/,,False,False,True,,,0.74,2,4,10,,"First come, first serve: open until food runs out",True,True
cmieom86z0ekk40f5ci5340zf,Macedonia Baptist Church,"Arrive 10–15 minutes early and bring sturdy, reusable bags to make loading easier.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,141 South 9th Avenue,,South Side,NY,10550,40.9066321,-73.83995130000001,America/New_York,https://feedingwestchester.org/find-help/mobile-food-pantry-schedule-stops-near-me/,,False,False,True,,,0.68,,0,60,,,False,False
cmif3hi300bmnztf01d2449db,Mount Vernon Fresh Market,"Arrive 10–15 minutes early and bring sturdy, reusable bags to make loading easier.
Feeding Westchester’s fleet delivers directly to community centers, schools, and other central locations. Each stop follows a simple first-come, first-served model; no ID or appointment required. Volunteers will greet you, explain how the line moves, and help carry items if needed.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,250 South 6th Avenue,,South Side,NY,10550,40.9044243,-73.8367648,America/New_York,https://feedingwestchester.org/find-help/mobile-food-pantry-schedule-stops-near-me/,,False,False,True,,,0.75,2.5,4,11,,"First come, first serve: open until food runs out",True,True
cmlfibttb0bvkzcfmnyh5n0t6,Macedonia Baptist Church,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,141 South 9th Avenue,,South Side,NY,10550,40.906555,-73.83972229999999,America/New_York,https://feedingwestchester.org/find-help/mobile-food-pantry-schedule-stops-near-me/,,False,False,True,,,0.8,2.3333333333333335,3,8,,,True,True
cmll7ip5n03ahy8ebca70hix9,Saints John Paul & Clement Church,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,126 South 9th Avenue,,South Side,NY,10550,40.9070565,-73.8407304,America/New_York,https://feedingwestchester.org/find-help/mobile-food-pantry-schedule-stops-near-me/,,False,False,True,,,0.74,2,1,5,,,True,True
cmievxmve0fdy1jcqz7719bcl,Parker School,"Arrive 10–15 minutes early and bring sturdy, reusable bags to make loading easier.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,461 South 6th Avenue,,South Side,NY,10550,40.900333,-73.8344611,America/New_York,https://feedingwestchester.org/find-help/mobile-food-pantry-schedule-stops-near-me/,,False,False,True,,,0.68,,0,18,,"First come, first serve: open until food runs out",False,False
cmljumd7502v543eemiw9xolj,Parker School,"Tip: Arrive 10–15 minutes early and bring sturdy, reusable bags to make loading easier.
Feeding Westchester’s fleet delivers directly to community centers, schools, and other central locations. Each stop follows a simple first-come, first-served model; no ID or appointment required. Volunteers will greet you, explain how the line moves, and help carry items if needed.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,461 South 6th Avenue,,South Side,NY,10550,40.9003258,-73.8345867,America/New_York,https://feedingwestchester.org/find-help/mobile-food-pantry-schedule-stops-near-me/,,False,False,True,,,0.69,,0,8,,,False,True
cmmnr94qj000y0blds8hxz98t,The Temple Of Restoration,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,17 South 3rd Avenue,,South Side,NY,10550,40.9113089,-73.83569159999999,America/New_York,https://restorationtime.com/helping-hands-2/,(914) 668-1905,False,False,True,,,0.05,,0,0,,,False,False
