id,name,description,resource_type,resource_type_id,status,address_street1,address_street2,city,state,zipCode,latitude,longitude,timezone,website,phone,open_by_appointment,appointment_required,accepting_new_clients,usage_limit_count,usage_limit_interval,confidence,rating_average,review_count,subscription_count,regions_served,tags,has_shifts,has_occurrences
cmay42enj017qye0wtyv7o7sn, FLASH X U.N.I.T.Y Pop-Up Cafe,"FLASH is a nonprofit Pop-up café experience hosted weekly at UNITY FEC Richmond Hill, supported almost entirely by rescued, donated, or surplus goods. FLASH aims to create a welcoming, low-barrier environment for community members to enjoy free coffee and pastries, connect with local programming, and access costless resources in a warm, dignified setting.
(https://www.thegatonfoundation.org)
FLASH is a summer cafe popup so it should be closed as a public resource until it opens next May 2026",Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,UNAVAILABLE,111-20 Jamaica Avenue,,Richmond Hill,NY,11418,40.6971399,-73.8364862,America/New_York,https://www.instagram.com/thegatonfoundation/,(347) 893-8265,False,False,True,,,0.77,2.5,3,23,,,True,False
cmdt9xm5l0988170vv6e5e8ma, Holy Child Jesus Food Pantry,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,112-06 86th Avenue,,Jamaica,NY,11418,40.6987703,-73.8368062,America/New_York,,(718) 847-1860,False,False,True,,,0.74,2.6153846153846154,17,43,,ID required,True,True
cmdtapp4m09bt170vo7h0fgjy, In The Beginning Outreach Inc,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,189-13 Liberty Avenue,,St. Albans,NY,11412,40.7035619,-73.76719109999999,America/New_York,,(718) 949-3578,False,False,True,,,0.86,1,3,6,,ID required,True,True
cmdx6p7hr04wczukpe70ndqm6, MARANATHA FRENCH SEVENTH DAY ADVENTIST CHURCH,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,173-04 Linden Boulevard,,Jamaica,NY,11434,40.6919435,-73.7768814,America/New_York,,(718) 297-8797,False,False,True,,,0.75,,0,5,,,True,True
cmdx75xqd04phxqkoc4uum7zo, Ministerio La Luz De La Esperanza Para Las Naciones De Jesucrist,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,80-02 41st Avenue,,Elmhurst,NY,11373,40.7456684,-73.8854867,America/New_York,,(631) 336-0572,False,False,True,,,0.78,2.5454545454545454,12,22,,,True,True
cmdx8iml60f8i170vp2c2mdc7, Mount Sinai Seventh Day Adventist Church,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,217-10 93rd Avenue,,Queens Village,NY,11428,40.72099170000001,-73.7398382,America/New_York,https://www.mountsinaisda.org/,(718) 465-1784,False,False,True,,,0.95,2,2,13,,ID required,True,True
cl0deqjqc000404yeis6jaagb," Project Lead, Inc.","They have a waiting list, due to budget cut off they are not taking new clients",Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,85-12 126th Street,,Jamaica,NY,11415,40.7039889,-73.8256193,America/New_York,https://www.projectleadus.org/,(718) 495-6210,False,False,True,,,0.95,,0,1,,"ID required,Registration required",True,False
cmdxgq82s06dozukpry5nq8jq, The Ozone Park Pantry,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,83-10 Rockaway Boulevard,,Jamaica,NY,11416,40.683599,-73.8571231,America/New_York,https://copcp.org/pantry/,(646) 851-0885,False,False,True,,,0.99,2.3636363636363638,19,86,,"First come, first serve: open until food runs out",True,True
cmdxk080c04hdvwkq2hgj8wdj, Worship Christian Center Inc,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,11316 Farmers Boulevard,,St. Albans,NY,11412,40.699075,-73.7631222,America/New_York,,(631) 482-0758,False,False,True,,,0.74,2,2,14,,,True,True
ckxexc1jf00320413ptm8zo9w,9 Million Reasons,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,39–21 Crescent Street,,New York,New York,11101,40.7542097,-73.9393005,America/New_York,https://www.9millionreasons.nyc/,(718) 361-5454,False,False,True,,,0.89,2.2982456140350878,71,129,NEW_YORK_CITY,"ID required,Must bring own bags/cart",True,True
142,"AIDS Center of Queens County, Far Rockaway",THEY GIVEOUT 100 BAGS EACH WEEK,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,1600 Central Ave,,New York,NY,11691,40.6050175,-73.75156419999999,America/New_York,https://acqc.org/about-acqc/,(718) 868-8645,False,False,True,1,MONTH,0.5,2.5714285714285716,29,71,,"First come, first serve: open until food runs out",True,True
62,"AIDS Center of Queens County, Jamaica",200 tickets,Food pantry (groceries),FOOD_PANTRY,PUBLISHED, 89-74 162nd St,,New York,NY,11432,40.704557,-73.7980226,America/New_York,https://acqc.org/about-acqc/#service-section,(718) 896-2500,False,False,True,2,MONTH,0.81,2,6,53,,"ID required,Diapers/baby essentials may be available,Clothing may be available",True,True
135,"AIDS Center of Queens County, Woodside","Numbers are given out at 7:30 AM. Food distribution starts at 8:00 AM on a first-come, first-served basis. There are usually many people lining up.

On-site registration required",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,62-07 Woodside Avenue,,Woodside,NY,11377,40.7451479,-73.9028941,America/New_York,https://acqc.org/about-acqc/#service-section,(718) 472-9400,False,False,True,2,MONTH,0.6,2.210526315789474,33,104,,"ID required,First come, first serve: open until food runs out,Registration required",True,True
cmdsz51lv047t6ckobek80qe0,ALL MY CHILDREN,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,175-44 Mayfield Road,,Jamaica,NY,11432,40.7168027,-73.7893596,America/New_York,,(718) 658-1563,False,False,True,,,0.76,2,2,5,,,True,True
cmdszcc4j013hyskogjwewoi0,ALLEN OUTREACH MINISTRY FEEDING PROGRAM,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,110-31 Merrick Boulevard,,Jamaica,NY,11433,40.6951395,-73.7813856,America/New_York,,(718) 526-3510,False,False,True,,,0.85,2.5,2,5,,"First come, first serve: open until food runs out",True,True
ckz2bem4d1908113jy3xg074ws2,Agape Christian Center,,Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,UNAVAILABLE,59-04 Summerfield Street,,Flushing,NY,11385,40.699233,-73.897705,America/New_York,https://www.facebook.com/Agapeccnyc/,(718) 418-2749,False,False,True,,,0.5,,0,1,,,True,False
cmj1n3f090rm35agxc5ex7e76,Aids Center of Queens,**no hrs,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,169-61 Jamaica Avenue,,Jamaica,NY,11432,40.7067966,-73.79107619999999,America/New_York,https://acqc.org/#side-menu-left,(718) 896-2500,False,False,True,,,0.75,,0,16,,,False,False
cmj1n1kic0hko1nfh2xzhleyr,Aids Center of Queens,"**no hrs

Assistance is offered for people with HIV and/or AIDs. This includes free food, vitamins, supplements and meals. The non-profit also helps their family members or partners. A free food pantry in Queens gives out help as well as transportation and more.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,16-00 Central Avenue,,Far Rockaway,NY,11691,40.6039252,-73.7527042,America/New_York,,(718) 868-8645,False,False,True,,,0.53,,0,1,,,False,False
cmg5aqpga06woz8gv5humoi0w,Al Arafa Islamic Center,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,88-49 179th Place,,Jamaica,NY,11432,40.711381,-73.782631,America/New_York,https://www.munassinc.org/locations/,(917) 267-8136,False,False,True,,,0.8,2.5,8,22,,,True,True
23,All Nations Baptist Church of Woodhaven,"- The food pantry is only open 3 Saturdays of the month. 
- Our close dates are publically posted on the front wall of the facility.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,86-76 80th Street,,Woodhaven,NY,11421,40.6916225,-73.8621835,America/New_York,http://www.allnationsbaptist.org/,(347) 679-3562,False,False,True,1,MONTH,0.8,2.5128205128205128,57,182,,"First come, first serve: open until food runs out",True,True
cmj2xyn0z0u2k5agxlkr93v6v,All Nations Baptist Church of Woodhaven,**no hrs,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,86-74 80th Street,,Jamaica,NY,11421,40.6917296,-73.8622247,America/New_York,,(718) 847-4229,False,False,True,,,0.54,2,1,26,,,False,False
clod33z200d8io20fmy8sv2op,All Things Work Community Fridge,"Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers.",Community fridge,COMMUNITY_FRIDGE,PUBLISHED,196-172 Linden Boulevard,,St. Albans,NY,11412,40.693444,-73.7550294,America/New_York,https://www.instagram.com/p/CteE0HrtKgM/,,False,False,True,,,0.69,,0,0,,,False,False
84,Allen Outreach Ministry Church,"* Located in the parking lot area
* Needs volunteers",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,110-31 Merrick Boulevard,,Jamaica,NY,11433,40.6948239,-73.7814381,America/New_York,https://allencathedral.org/,(718) 206-4600,False,False,True,,,0.74,2.142857142857143,11,40,,,True,True
cmj1mdt1d05ap2dh3p9bgls6k,Allen Outreach Ministry Feeding Program,**no hrs,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,111-54 Merrick Boulevard,,Jamaica,NY,11433,40.6930737,-73.78076759999999,America/New_York,,(718) 526-3510,False,False,True,,,0.53,,0,1,,,False,False
cmj1k7zn904x02dh3snphouwt,American Pakistani Advocacy Group Cares Inc.,Contact Info: Mr. Hashim Malik,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,159-16 Union Turnpike,,Flushing,NY,11366,40.7201852,-73.8073975,America/New_York,,(347) 596-7202,False,False,True,,,0.53,,0,1,,,False,False
cmhe1l8a80l3q3bcqvaclite9,Angela ,I'm looking for PediaSure 1.5 fiber and size 4 diapers can you help,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,37-05 30th Street,,Astoria,NY,11101,40.7549417,-73.93202339999999,America/New_York,,(917) 257-7228,False,False,True,,,0.73,,0,1,,,False,False
cmj2wdmk60tpxvoeehzdvb8bb,Apostolic Temple of Jesus Christ,"**No hrs

Bags of groceries may be passed out, such as soups. Or ask about meal programs, including for students and children.",Soup kitchen (ready-to-eat meals),SOUP_KITCHEN,PUBLISHED,137-18 Farmers Boulevard,,Jamaica,NY,11434,40.6729932,-73.7644193,America/New_York,,(718) 528-1021,False,False,True,,,0.53,,0,5,,,False,False
clb6tv8re0000l80ffeocpc9r,Arverne View Community Food Distribution Center,"Registration on website required before moving further with the food DELIVERY process https://form.jotform.com/233054756403150 Then you will receive id to order food online


Part of The Campaign Against Hunger organization

ID required for all members of the household",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,57-17 Rockaway Beach Boulevard,,Arverne,NY,11692,40.5918475,-73.7878383,America/New_York,https://www.tcahnyc.org/locations/,(718) 773-3551,False,False,True,,,0.77,2,13,102,,"ID required,Proof of address required",True,True
ckxexc1mp07460413ngyapef3,Astoria Community Fridge,,Community fridge,COMMUNITY_FRIDGE,UNAVAILABLE,8-01 Astoria Blvd,,New York,New York,11105,40.7787801,-73.91444480000001,America/New_York,https://www.instagram.com/astoria.minifridge/,,False,False,True,,,0.35,,0,0,,,False,False
ckxexc1nf10300413a1mclq82,Astoria Community Fridge,"Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers.",Community fridge,COMMUNITY_FRIDGE,UNAVAILABLE,"801 Astoria Blvd, Astoria, NY 11102",,New York,New York,11102,40.7727023,-73.93267469999999,America/New_York,https://www.instagram.com/astoriafridge/,,False,False,True,,,0.49,,0,0,,,False,False
ckxexc1lw05520413gh3x6g38,Astoria Food Pantry,"We give only one bag of groceries per person, no matter the household size. If you need food that can be prepared without a kitchen, please ask at the door.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,25-82 Steinway St ,,New York,New York,11103,40.76628208754526,-73.91350157341874,America/New_York,https://www.astoriafoodpantry.com/get-help.html,,False,False,True,,,0.7,2.586206896551724,46,100,,"First come, first serve: open until food runs out,Diapers/baby essentials may be available,Pet food may be available",True,True
clnnkhfa6014ys50fi9ok1vmx,Astoria Halal Fridge,"Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers.",Community fridge,COMMUNITY_FRIDGE,PUBLISHED,35-13 23rd Avenue,,Long Island City,NY,11105,40.77295400000001,-73.9104235,America/New_York,https://www.instagram.com/astoriahalalfridge/,(718) 274-2474,False,False,True,,,0.74,,0,0,,,False,False
ckxexc1n5089504130guadyvq,Astoria Neverita,"Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers.",Community fridge,COMMUNITY_FRIDGE,PUBLISHED,24-20 Ditmars Boulevard,,New York,New York,11105,40.7787318,-73.914695,America/New_York,https://linktr.ee/astoriaminifridge,,False,False,True,,,0.69,2,1,1,,,False,False
124,Atonement Lutheran Church,On-site registration required,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,30-61 87th St,,New York,NY,11369,40.7599631,-73.88126000000001,America/New_York,https://www.facebook.com/pages/Atonement-Lutheran-Church/150435431635973,(718) 639-6074,False,False,True,,,0.9,2.1666666666666665,18,69,,Registration required,True,True
clewz5aue0003kw0g53tl5g9i,BAIT-UL-ZAFAR – FOOD PANTRY,- Theey do not have a site for the pantry so after food isreceived it is distributed on the weekend preferableyon Saturday. call ahead in advance (Tahir +1 (847) 687-5674) to find out if there would be any distribution of food,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,188-15 McLaughlin Avenue,,Hollis,NY,11423,40.7220228,-73.77614609999999,America/New_York,https://usa.humanityfirst.org/bait-ul-zafar-food-pantry/,(877) 994-3872,False,False,True,,,0.68,3,4,22,,Call in advance for services,True,True
1530,BETHEL GOSPEL TABERNACLE,Best contact: Daisy,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,110-25 Guy Brewer blvd ,,JAMAICA,NY,11433,40.692844,-73.788803,America/New_York,https://bgtfi.us/,(718) 291-2676,False,False,True,,,0.99,2.4545454545454546,16,54,,"ID required,Clothing may be available",True,True
cmj1jsac80r4a5agxtmnx30rj,"Battalion Pentecostal Assembly, Inc.","Contact Info:
Mr. David T. Cockfield",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,4-54 Beach 67th Street,,Arverne,NY,11692,40.5943732,-73.79600049999999,America/New_York,,(718) 634-7172,False,False,True,,,0.53,,0,1,,,False,False
1510,Beraca SDA Church,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,91-19 191 St,,Hollis ,NY,11423,40.711815,-73.76844,America/New_York,http://beracafrench22.adventistchurchconnect.org,(718) 341-9494,False,False,True,,,0.98,1.75,7,27,,,True,False
1536,Beth Gavriel Center,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,66-35 108th St,,Forest Hills,NY,11375,40.729336,-73.847336,America/New_York,https://www.bethgavrielcenter.com/,(718) 268-7558,False,False,True,,,0.98,2.2,10,25,,"ID required,First come, first serve: open until food runs out,Registration required",True,True
cmj2w36x80e4u4vecu9nmdtak,Bethany Baptist Church of Jamaica,**No hrs,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,110-47 157th Street,,Jamaica,NY,11433,40.6905147,-73.7921338,America/New_York,,(718) 659-6099,False,False,True,,,0.53,,0,0,,,False,False
106,Bethany Baptist Church of Jamaica ,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,157-11 111th Ave,,New York,NY,11433,40.690409,-73.791682,America/New_York,http://bbcjam157.com/,(718) 659-6099,False,False,True,,,0.9,2.375,13,46,,,True,True
cl0lzdnm7000204u7pojhhak8,Bethel AME Arverne Church Food Pantry,On-site registration required,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,215 Beach 77th St,,Queens,NY,11692,40.588833,-73.804642,America/New_York,,(718) 474-7712,False,False,True,,,0.98,2.5454545454545454,18,52,,"ID required,Registration required",True,True
97,"Bethel Emanuel Temple, Bet's Shepherds Inn, God's House Today Ministries - Food Pantry",,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,106-23 154th St,,New York,NY,11433,40.6958132,-73.7991026,America/New_York,https://www.homelessshelterdirectory.org/cgi-bin/id/foodbank.cgi?foodbank=4184,(718) 657-7915,False,False,True,,,0.6,,0,0,,,True,False
cmj2w4jy806wuxeefb2js64z2,Bethel Mission charity organization,**No hrs,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,106-15 154th Street,,Jamaica,NY,11433,40.6959766,-73.7993668,America/New_York,,(718) 658-2484,False,False,True,,,0.53,,0,7,,,False,False
cmj2x0kzm0tshvoeeiq5frdt0,Bethesda Mission Baptist Church,**No hrs,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,179-09 Jamaica Avenue,,Jamaica,NY,11432,40.7085243,-73.781937,America/New_York,,(718) 297-5908,False,False,True,,,0.53,,0,14,,,False,False
125,Bethesda Missionary Baptist Church - Food Pantry,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,179-09 Jamaica Ave,,New York,NY,11432,40.7085951,-73.78107190000001,America/New_York,https://www.coalitionforthehomeless.org/resources/bethesda-missionary-baptist-church/,(718) 297-5908,False,False,True,,,0.94,,0,7,,,True,False
167,Blanche Memorial Church,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,109-74 Sutphin Blvd,,New York,NY,11435,40.6900183,-73.7971438,America/New_York,http://www.queenschurches.org/Directory/Congregations/DQC543.htm,(718) 658-2458,False,False,True,,,0.64,2.25,8,27,,,True,True
692,Brigada de Esperanza,Please check the website or their Facebook account for any updates regarding the food distribution.,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,89-07 Astoria Blvd,,East Elmhurst,NY,11369,40.76496238740353,-73.87988788075523,America/New_York,https://brigadadeesperanza.com/,(718) 530-8638,False,False,True,,,1,2.4130434782608696,65,116,,Registration required,True,True
107,"Bright Light Family Worship Center, We Care Pantry",,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,201-14 Hollis Ave,,New York,NY,11412,40.70628437477275,-73.75596635981296,America/New_York,https://www.facebook.com/Bright-Light-Family-Worship-Center-COGIC-1584956895147678/,(718) 774-0745,False,False,True,,,0.45,,0,0,,,False,False
1522,Brooks Memorial United Methodist Church,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,143-22 109 Avenue,,Jamaica,NY,11435,40.68848,-73.802963,America/New_York,,(718) 658-8822,False,False,True,,,0.92,2.6,14,51,,"ID required,Must bring own bags/cart",True,True
clnnmr4bj01h0s50fiofl2y1j,Brothers Wash & Dry Community Fridge,"Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers.",Community fridge,COMMUNITY_FRIDGE,PUBLISHED,55-54 Nurge Avenue,,Maspeth,NY,11378,40.7156139,-73.910487,America/New_York,@brotherswashndry,,False,False,True,,,0.69,1,1,4,,,False,False
1500,Bukharian Jewish Center of Briarwood,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,139-06 86th Ave,,Briarwood,NY,11435,40.707741,-73.816498,America/New_York,https://ohr-natan-briarwood-synagogue.business.site/,(718) 755-9618,False,False,True,,,0.94,,0,5,,Kosher food available,True,False
42,CHRISTINA HOME CARE FOOD PANTRY,"* Offers free home care with help from Medicare and Medicaid
* Walk-ins accepted
* No requirements
* Offers job traning and assiistance
* Needs volunteers
* Clients can visit once a week
* Fist come, first serve until food runs out",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,120-19 Liberty Avenue,,South Richmond Hill,NY,11419,40.6870632,-73.8225504,America/New_York,https://www.care.com/b/l/christine-home-care-services-inc/south-richmond-hill-ny,(917) 592-8686,False,False,True,,,0.89,2.3125,32,94,,,True,True
