id,name,description,resource_type,resource_type_id,status,address_street1,address_street2,city,state,zipCode,latitude,longitude,timezone,website,phone,open_by_appointment,appointment_required,accepting_new_clients,usage_limit_count,usage_limit_interval,confidence,rating_average,review_count,subscription_count,regions_served,tags,has_shifts,has_occurrences
ckzhz1ag60002041352j03qbp,"ACT Care Foundation, Inc.",,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,1698 Victory Boulevard,,Castleton Corners,NY,10314,40.6130811,-74.12024869999999,America/New_York,http://www.actcaregroup.com/,(718) 442-7467,False,True,True,,,0.75,2,2,14,,Schedule appointment through Plentiful app,True,True
61,All Saints Church Episcopal Ministry,Call +1 (718) 698-1338 in advance to confirm availability of food.,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,2329 Victory Blvd,,New York,NY,10314,40.6116815,-74.1414923,America/New_York,https://www.allsaintswillowbrook.org/,(718) 698-1338,False,True,True,1,MONTH,0.86,2.375,8,25,,Call in advance for services,True,False
cmix8l5o00dqmvoeeqig0c5eh,All Saints Church Episcopal Ministry,"https://www.facebook.com/AllSaintsWillowbrook
https://www.facebook.com/AllSaintsWillowbrook",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,2329 Victory Boulevard,,Mid Island,NY,10314,40.61171179999999,-74.1415923,America/New_York,https://www.allsaintswillowbrook.org/,(718) 698-1338,False,False,True,,,0.55,,0,6,,,True,True
cm5a9r8o50151180vuwtn2824,Assumption-St. Paul's Roman Catholic Church,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,145 Clinton Avenue,,Mid Island,NY,10301,40.6410485,-74.09756229999999,America/New_York,https://assumptionstpaulsi.com/food-pantry,(718) 727-2672,False,False,True,,,0.73,3,1,7,,,True,True
cm5a9yh5f013hx30wlsgg25jy,Bait-ul Jamaat/House of Community & Richmond Senior Services,"For delivery to housebound elders or people with disabilities, call or text (347) 289-7991
In the month of November and December Distribution will be on 1st and 3rd Thursday of th month",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,192 Corson Avenue,,Mid Island,NY,10301,40.6371787,-74.085403,America/New_York,https://www.hungryonstatenisland.com/area10301.htm,(347) 289-7991,False,False,True,,,0.79,2.3333333333333335,3,9,,"ID required,Seniors only",True,True
132,Bikur Cholim of Staten Island,,Food pantry (groceries),FOOD_PANTRY,UNAVAILABLE,46 Birchland Ave,,New York,NY,10314,40.6028713,-74.1354195,America/New_York,https://www.guidestar.org/profile/13-3267313,(718) 494-4343,False,False,True,,,0.82,,1,9,,,True,False
cmiucga0b06tj3zfmv7z4ftml,Bikur Cholim of Staten Island,**No hrs,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,46 Birchard Avenue,,Manor Heights,NY,10314,40.6028934,-74.13545529999999,America/New_York,,(718) 983-9272,True,False,True,,,0.58,,0,12,,,False,False
cmix9oijj03sa1cfqa5z9r826,By Divine Purpose Christian Center,"https://www.facebook.com/By-Divine-Purpose-Christian-Center-235241703264803/

County or Counties Served: Richmond

Enter at Delafield Ave. behind laundromat. For more information, please call.",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,418 Broadway,,West Brighton,NY,10310,40.63084569999999,-74.116642,America/New_York,,(347) 592-4060,False,False,True,,,0.58,,1,5,,,True,True
cmix9t2qx03sq1cfqhuosyqec,CALM Food Pantry,"https://www.facebook.com/CALM-Church-197795737072286

https://www.instagram.com/calmchurch

https://twitter.com/CalmChurch

For more information, please call.

County or Counties Served: Richmond",Food pantry (groceries),FOOD_PANTRY,PUBLISHED,121 Grandview Avenue,,Mariners Harbor,NY,10303,40.6364776,-74.1649311,America/New_York,https://calmchurch.org/,(718) 273-0372,False,False,True,,,0.55,,0,4,,,True,True
cmbg203wn0071tn2skq0nf56m,CHASI MFP -  Arthur Kill Rd & Revere Lane,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,3 Revere Lane,,Richmond,NY,10306,40.569453,-74.1499707,America/New_York,,(718) 873-6270,False,False,True,,,0.86,2,3,15,,,True,True
cmbg204i1007dtn2s0ympgjaz,CHASI MFP -  Woodrow Road,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,1075 Woodrow Rd,,Staten Island,NY,10312,40.542915,-74.200233,America/New_York,,(718) 873-6270,False,False,True,,,0.8,3,2,16,,,True,True
cma7rco6f00entx2sawndip8k,CHASI MFP - Arlington Houses,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,35 Holland Ave,,Staten Island,NY,10303,40.639278,-74.170372,America/New_York,https://chasiny.org/services/food-pantry-mobile-food-pantry/,(718) 808-1300,False,False,True,,,0.84,2.5,3,9,,ID required,True,True
cma7rco1i00edtx2sfg1kmhjz,CHASI MFP - Cassidy Apartments,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,145 Cassidy Pl,,Staten Island,NY,10301,40.642391,-74.097244,America/New_York,https://chasiny.org/services/food-pantry-mobile-food-pantry/,(718) 873-6270,False,False,True,,,0.89,,1,4,,,True,True
clwgkog1o00frb6xue0seol16,CHASI MFP - Cedar grove ave,There is no income requirement for food pantry services. All are welcome. Everything is free. Please bring personal identification with you and proof of household size if you have it.,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,127 Cedar Grove Avenue,,New Dorp Beach,NY,10306,40.5615497,-74.1002682,America/New_York,https://chasiny.org/services/food-pantry-mobile-food-pantry/,(718) 873-6270,False,False,True,,,0.89,2,3,9,,ID required,True,True
cma7rcnby00drtx2spo4rbslj,CHASI MFP - Clove Lakes Park,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,1 Seneca Avenue,,Sunnyside,NY,10301,40.6159618,-74.1045595,America/New_York,https://chasiny.org/services/food-pantry-mobile-food-pantry/,(718) 873-6270,False,False,True,,,0.84,,1,5,,,True,True
cma7rcn3100dhtx2sf8cab277,CHASI MFP - Clove Road,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,1950 Clove Road,,Concord,NY,10304,40.60443679999999,-74.08713929999999,America/New_York,https://chasiny.org/services/food-pantry-mobile-food-pantry/,(718) 808-1300,False,False,True,,,0.84,,0,11,,,True,True
cm9kctx2q00kvw72bgegxafy7,CHASI MFP - Ebbits St. & Mill Road,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,38 Ebbitts Street,,New Dorp Beach,NY,10306,40.564319,-74.1101431,America/New_York,https://chasiny.org/services/food-pantry-mobile-food-pantry/,(718) 873-6270,False,False,True,,,0.84,2,5,17,,ID required,True,True
cma7rcmno00d4tx2svtsbv5ga,CHASI MFP - Forest Ave,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,1504 Forest Avenue,,Port Richmond,NY,10302,40.6240904,-74.1388432,America/New_York,https://chasiny.org/services/food-pantry-mobile-food-pantry/,(718) 873-6270,False,False,True,,,0.89,3,3,18,,ID required,True,True
cma7rch30008wtx2s71dxrg40,CHASI MFP - Grandview ave and Brabant st,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,349 Grandview Avenue,,Mariners Harbor,NY,10303,40.6321577,-74.1652481,America/New_York,https://chasiny.org/services/food-pantry-mobile-food-pantry/,(718) 873-6270,False,False,True,,,0.9,2,3,12,,ID required,True,True
cm9xr9coq0063042btzmcy94c,CHASI MFP - Great Kills Senior Center,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,11 Sampson Ave,,Staten Island,NY,10308,40.552418,-74.149529,America/New_York,https://chasiny.org/services/food-pantry-mobile-food-pantry/,(718) 873-6270,False,False,True,,,0.89,2,3,22,,ID required,True,True
cma7rcm7q00cqtx2syo7gkv4h,CHASI MFP - Jersey St. & Hendricks Avenue,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,348 Jersey Street,,New Brighton,NY,10301,40.6398776,-74.0873529,America/New_York,https://chasiny.org/services/food-pantry-mobile-food-pantry/,(718) 873-6270,False,False,True,,,0.84,2,3,8,,,True,True
cma7rclqy00cetx2shti8iaar,CHASI MFP - Lincoln Ave & Colfax Ave,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,145 Lincoln Avenue,,Midland Beach,NY,10306,40.5788391,-74.1074129,America/New_York,,(718) 873-6270,False,False,True,,,0.9,2.3333333333333335,3,12,,,True,True
cma7rcld300c2tx2sq4cnohx8,CHASI MFP - Manor Rd. & So. Gannon Avenue,By CVS,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,774 Manor Rd,,Staten Island,NY,10314,40.608814,-74.12191,America/New_York,https://chasiny.org/services/food-pantry-mobile-food-pantry/,(718) 873-6270,False,False,True,,,0.84,2,1,8,,,True,True
cma7rckwn00bqtx2s5nyo0wp5,CHASI MFP - Midland Ave & Olympia Blvd,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,568 Midland Avenue,,Midland Beach,NY,10306,40.5724728,-74.09338369999999,America/New_York,https://chasiny.org/services/food-pantry-mobile-food-pantry/,(718) 873-6270,False,False,True,,,0.87,2.6,5,16,,,True,True
cm9kctwv400klw72b3ng0aigv,CHASI MFP - N. Brielle Avenue,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,460 Brielle Ave,,Staten Island,NY,10314,40.592644,-74.129654,America/New_York,https://chasiny.org/services/food-pantry-mobile-food-pantry/,(718) 873-6270,False,False,True,,,0.88,2,1,2,,ID required,True,True
cm9xr9c3q005r042b6307iics,CHASI MFP - New Lane,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,70 New Ln,,Staten Island,NY,10305,40.612881,-74.061913,America/New_York,https://chasiny.org/services/food-pantry-mobile-food-pantry/,(718) 873-6270,False,False,True,,,0.84,2,2,7,,ID required,True,True
cma7rckhe00bctx2si2obi5pt,CHASI MFP - Norway Avenue & Reid Avenue,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,1 Reid Avenue,,Arrochar,NY,10305,40.5942698,-74.0791545,America/New_York,https://chasiny.org/services/food-pantry-mobile-food-pantry/,(718) 873-6270,False,False,True,,,0.6,3,5,14,,,True,True
cma7rck3100b0tx2sy739rqcy,CHASI MFP - Richmond Rd. & Dongan Hills Ave.,,Food pantry (groceries),FOOD_PANTRY,PUBLISHED,1689 Richmond Road,,Todt Hill,NY,10304,40.5889465,-74.1022436,America/New_York,https://chasiny.org/services/food-pantry-mobile-food-pantry/,(718) 873-6270,False,False,True,,,0.89,,2,12,,,True,True
