id,name,resource_type,status,address_street1,address_street2,city,state,zip_code,latitude,longitude,timezone,distance_miles,phone,website,open_by_appointment,is_open_now,next_open,next_confirmed,upcoming_occurrences,usage_limit,usage_calendar_reset,tags,confidence,rating_average,review_count,subscriber_count,image_url,description,description_es
cm56vj12k0059w30v1vhu6nk0,Trinity Church Brown Bag Lunch Ministry,FOOD_PANTRY,PUBLISHED,209 Broadway,,New York,NY,10007,40.711326,-74.00917770000001,America/New_York,0.2,(917) 594-6300,https://trinitywallstreet.org/social-justice/food-assistance,False,False,2026-03-13T13:30:00+00:00,False,"[{""start"": ""2026-03-13T13:30:00+00:00"", ""end"": ""2026-03-13T21:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-16T13:30:00+00:00"", ""end"": ""2026-03-16T21:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-17T13:30:00+00:00"", ""end"": ""2026-03-17T21:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-17T15:00:00+00:00"", ""end"": ""2026-03-17T15:00:00+00:00"", ""confirmed"": false}]",,False,Call in advance for services,0.52,2.5,3,19,https://lemontree-feed-photos.s3.amazonaws.com/r6qeeq6dv8ajcwvjsrw3j0q0.jpg,,
clb1c00yl01qgun04qn0fw67w,NYCLK 34 Hillside Ave,FOOD_PANTRY,PUBLISHED,181 Broadway,,New York,NY,10007,40.7102096,-74.0099291,America/New_York,0.27,(470) 838-9292,,False,False,2026-04-04T14:30:00+00:00,False,"[{""start"": ""2026-04-04T14:30:00+00:00"", ""end"": ""2026-04-04T16:30:00+00:00"", ""confirmed"": false}, {""start"": ""2026-05-02T14:30:00+00:00"", ""end"": ""2026-05-02T16:30:00+00:00"", ""confirmed"": false}, {""start"": ""2026-06-06T14:30:00+00:00"", ""end"": ""2026-06-06T16:30:00+00:00"", ""confirmed"": false}, {""start"": ""2026-07-04T14:30:00+00:00"", ""end"": ""2026-07-04T16:30:00+00:00"", ""confirmed"": false}]",,False,"First come, first serve: open until food runs out",0.74,2.0,3,20,https://lemontree-feed-photos.s3.amazonaws.com/oxd4em2iusepinhzmt1v1wox.png,,
492,"Grand Central Food Program, Chinatown",SOUP_KITCHEN,PUBLISHED,60 Lafayette Street,,New York,NY,10013,40.7166101,-74.002589,America/New_York,0.32,(212) 776-2000,https://www.coalitionforthehomeless.org/our-programs/food/grand-central-food-program/grand-central-food-program-routes/,False,False,2026-03-12T23:30:00+00:00,False,"[{""start"": ""2026-03-12T23:30:00+00:00"", ""end"": ""2026-03-12T23:30:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-13T23:30:00+00:00"", ""end"": ""2026-03-13T23:30:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-14T23:30:00+00:00"", ""end"": ""2026-03-14T23:30:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-15T23:30:00+00:00"", ""end"": ""2026-03-15T23:30:00+00:00"", ""confirmed"": false}]",,False,,0.77,,1,7,https://lemontree-feed-photos.s3.amazonaws.com/k3wlc9f60ql7une78irqu6or.jpg,"""For a smoother experience, this is a grab-and-go meal site where trucks arrive sometimes earlier or later due to traffic. We recommend arriving 15 minutes before the scheduled time. If the truck is running late, please allow at least 15 minutes from the scheduled arrival time before inquiring.""",
clgxwgky0000ule0fcjdl34cf,Trinity Church Compassion Meals,SOUP_KITCHEN,PUBLISHED,89 Broadway,,New York,NY,10006,40.7080667,-74.0116247,America/New_York,0.44,(917) 594-6300,,False,False,2026-03-13T13:00:00+00:00,False,"[{""start"": ""2026-03-13T13:00:00+00:00"", ""end"": ""2026-03-13T14:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-13T16:00:00+00:00"", ""end"": ""2026-03-13T17:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-13T20:30:00+00:00"", ""end"": ""2026-03-13T21:30:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-14T16:00:00+00:00"", ""end"": ""2026-03-14T17:00:00+00:00"", ""confirmed"": false}]",,False,,0.88,3.0,4,9,https://lemontree-feed-photos.s3.amazonaws.com/td47c56j5cotqz4ofexielor.jpg,* Free counselling and community wellness,* Consejería gratuita y bienestar comunitario
clnnnixf301iss50f5dhguy9m,Chinatown Community Fridge & Pantry,COMMUNITY_FRIDGE,PUBLISHED,96 Baxter Street,,New York,NY,10013,40.7171701,-73.9997547,America/New_York,0.45,,https://www.instagram.com/chinatown.communityfridge/?hl=en,False,False,2026-03-13T13:00:00+00:00,False,"[{""start"": ""2026-03-13T13:00:00+00:00"", ""end"": ""2026-03-13T22:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-14T13:00:00+00:00"", ""end"": ""2026-03-14T22:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-15T13:00:00+00:00"", ""end"": ""2026-03-15T22:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-16T13:00:00+00:00"", ""end"": ""2026-03-16T22:00:00+00:00"", ""confirmed"": false}]",,False,,0.74,,0,4,https://lemontree-feed-photos.s3.amazonaws.com/bnqg641wtfl5fxnd6v1flfcw.jpg,"Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers.",
1499,Trinity Commons Compassion Market,FOOD_PANTRY,PUBLISHED,107 Greenwich Street,,New York,NY,10006,40.7083698,-74.0131655,America/New_York,0.48,(917) 594-6300,https://trinitywallstreet.org/stories-news/compassion-meals-trinity,True,False,2026-03-17T12:30:00+00:00,False,"[{""start"": ""2026-03-17T12:30:00+00:00"", ""end"": ""2026-03-17T15:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-19T15:00:00+00:00"", ""end"": ""2026-03-19T17:30:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-24T12:30:00+00:00"", ""end"": ""2026-03-24T15:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-26T15:00:00+00:00"", ""end"": ""2026-03-26T17:30:00+00:00"", ""confirmed"": false}]",,False,"ID required, Must bring own bags/cart, First come, first serve: open until food runs out, Schedule appointment through Plentiful app",0.85,2.6666666666666665,7,38,https://lemontree-feed-photos.s3.amazonaws.com/clb2q00w300010fik98vshvqw.png,,
871,Project Hospitality - Canal Street,FOOD_PANTRY,PUBLISHED,205 Canal Street,,New York,NY,10013,40.71734439999999,-73.9986816,America/New_York,0.5,(718) 815-0800,https://projecthospitality.org/,False,False,2026-03-17T13:00:00+00:00,False,"[{""start"": ""2026-03-17T13:00:00+00:00"", ""end"": ""2026-03-17T16:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-19T13:00:00+00:00"", ""end"": ""2026-03-19T16:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-24T13:00:00+00:00"", ""end"": ""2026-03-24T16:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-26T13:00:00+00:00"", ""end"": ""2026-03-26T16:00:00+00:00"", ""confirmed"": false}]",2 per 1 MONTH,False,,0.99,2.8,7,31,https://lemontree-feed-photos.s3.amazonaws.com/p6p3xsjueivn0cw493uw69f9.png,,
64,Asian Americans for Equality,FOOD_PANTRY,PUBLISHED,111 Division Street,,New York,NY,10002,40.7143084,-73.99233199999999,America/New_York,0.72,(212) 979-8988,https://www.aafe.org,False,False,2026-03-25T17:00:00+00:00,False,"[{""start"": ""2026-03-25T17:00:00+00:00"", ""end"": ""2026-03-25T17:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-04-29T17:00:00+00:00"", ""end"": ""2026-04-29T17:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-05-27T17:00:00+00:00"", ""end"": ""2026-05-27T17:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-06-24T17:00:00+00:00"", ""end"": ""2026-06-24T17:00:00+00:00"", ""confirmed"": false}]",,False,Registration required,0.9,2.6666666666666665,5,22,https://lemontree-feed-photos.s3.amazonaws.com/t429701griwl4ch7pynx9mdi.png,"We launched three food pantries to provide fresh, culturally appropriate produce, meats and canned and packaged goods to residents in Chinatown, the Lower East Side and East Harlem, where the Asian American population is growing rapidly. The monthly pantries are powered by the AAFE Volunteer Program, including more than 100 dedicated New Yorkers committed to giving back to their communities. Food is sourced primarily from local small businesses. Community members must sign up for pantry distributions in advance. Currently, we are fully booked with a substantial waiting list. Please contact us for referrals to other food resources.Come before 10am to line up and get a number.

On-site registration required",
ckxexc1nt11450413aa66kn3n,Broome & Bowery Fridge,COMMUNITY_FRIDGE,PUBLISHED,329 Broome Street,,New York,New York,10002,40.71910099999999,-73.9938676,America/New_York,0.77,,https://www.instagram.com/broomeboweryfridge/,False,False,,,[],,False,,0.69,,0,1,https://lemontree-feed-photos.s3.amazonaws.com/zkap7hp2x9bn2tm5n04jdam6.png,"Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers.",
ckyzlfcp02841703o1d98mopoiz,The Door Manhattan Youth Center,FOOD_PANTRY,PUBLISHED,555 Broome Street,,New York,NY,10013,40.7243704,-74.005489,America/New_York,0.8,(212) 453-0222,,False,False,2026-03-13T18:30:00+00:00,False,"[{""start"": ""2026-03-13T18:30:00+00:00"", ""end"": ""2026-03-13T18:30:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-13T20:30:00+00:00"", ""end"": ""2026-03-13T20:30:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-16T18:30:00+00:00"", ""end"": ""2026-03-16T18:30:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-16T20:30:00+00:00"", ""end"": ""2026-03-16T20:30:00+00:00"", ""confirmed"": false}]",,False,Registration required,0.95,2.5,4,6,https://lemontree-feed-photos.s3.amazonaws.com/pem235kekkhjyzck9viml0dd.jpg,"Serves Age 12 to 24
For Appointments and Questions : Sunetra Rangraj, srangraj@door.org, 212-941-9090, ext. 3298

On-site registration required",
446,"Grand Central Food Program, Staten Island Ferry Terminal",SOUP_KITCHEN,PUBLISHED,4 Whitehall St,,New York,NY,10004,40.7011133,-74.012936,America/New_York,0.89,(212) 776-2000,https://www.coalitionforthehomeless.org/our-programs/food/grand-central-food-program/grand-central-food-program-routes/,False,False,2026-03-13T00:00:00+00:00,False,"[{""start"": ""2026-03-13T00:00:00+00:00"", ""end"": ""2026-03-13T00:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-14T00:00:00+00:00"", ""end"": ""2026-03-14T00:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-15T00:00:00+00:00"", ""end"": ""2026-03-15T00:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-16T00:00:00+00:00"", ""end"": ""2026-03-16T00:00:00+00:00"", ""confirmed"": false}]",,False,,0.89,,1,7,https://lemontree-feed-photos.s3.amazonaws.com/hufmy2h6a522lj0lq2rgsuwj.png,"""For a smoother experience, this is a grab-and-go meal site where trucks arrive sometimes earlier or later due to traffic. We recommend arriving 15 minutes before the scheduled time. If the truck is running late, please allow at least 15 minutes from the scheduled arrival time before inquiring.""",
